Date,Racism,Sexual minorities,Gender minorities,Homosexuality,Homophobia,Misogyny,Intersectionality,Toxic,Woke,Cancel,Gender roles,Gender identity,Feminism,Masculinity,Other gender,Discrimination,Equality,Rainbow,Prime Minister,Government,Parliament,Agriculture,Industry,Climate,NumOfArticles
2022-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,0,8,3,61
2022-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,0,1,5,5,70
2022-04-30,0,0,2,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,3,6,4,2,0,3,39
2022-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,36
2022-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,13,3,0,6,3,64
2022-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5,4,6,5,75
2022-05-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,1,0,4,1,73
2022-05-05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,11,6,0,5,2,73
2022-05-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,1,7,2,67
2022-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,7,1,0,5,3,50
2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,42
2022-05-09,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6,6,3,0,2,3,59
2022-05-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,19,9,4,5,2,63
2022-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,2,2,2,3,48
2022-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,14,13,2,3,1,74
2022-05-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,5,7,3,6,3,56
2022-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,6,0,0,2,33
2022-05-15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,3,4,1,2,0,31
2022-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,1,6,3,65
2022-05-17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,6,5,1,4,2,60
2022-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,2,2,56
2022-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,6,1,7,4,78
2022-05-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,4,1,10,2,69
2022-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,6,5,43
2022-05-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,1,2,1,40
2022-05-23,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,3,12,4,2,4,4,49
2022-05-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,8,3,2,5,3,69
2022-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,2,5,4,64
2022-05-26,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5,2,0,4,3,3,45
2022-05-27,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,8,1,0,1,2,59
2022-05-28,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,4,1,0,1,3,33
2022-05-29,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,3,30
2022-05-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,8,3,1,3,3,2,56
2022-05-31,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,7,12,3,3,4,7,83
2022-06-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,8,16,1,2,5,7,89
2022-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,10,3,3,3,7,71
2022-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,5,1,6,0,59
2022-06-04,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,1,2,38
2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,1,2,35
2022-06-06,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,1,1,3,5,68
2022-06-07,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,3,4,3,4,10,7,3,5,5,70
2022-06-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,8,12,8,1,4,5,71
2022-06-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,16,6,3,8,6,75
2022-06-10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,10,2,2,8,5,80
